name,category,rating,address,subtypes,type,price_estimate,description,combined_text
Taman Budaya Yogyakarta,pusat kebudayaan,4.6,"Jl. Sriwedani No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Cultural center, Concert hall, Event venue",wisata,50000,,taman budaya pusat kebudayaan cultural center concert hall event venue sriwedani ngupasan gondomanan
Vredeburg Fort Museum,museums,4.7,"Jl. Margo Mulyo No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Tourist attraction, Fortress, Natural history museum, History museum",wisata,40000,,vredeburg fort museum museums tourist attraction fortress natural history museum history museum margo mulyo ngupasan gondomanan
Situs Pesanggrahan Rejawinangun,attractions,4.4,"Jl. Veteran No.77, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55164","Tourist attraction, Historical landmark",wisata,40000,,situs pesanggrahan rejawinangun attractions tourist attraction historical landmark veteran warungboto umbulharjo
Taman Sari Tourist Village,attractions,4.6,"Patehan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55133","Tourist attraction, Historical landmark",wisata,40000,,taman sari tourist village attractions tourist attraction historical landmark patehan kraton city special region
Bentara Budaya Yogyakarta (BBY),attractions,4.6,"Jl. Suroto No.2, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224","Tourist attraction, Art center",wisata,40000,,bentara budaya bby attractions tourist attraction art center suroto kotabaru gondokusuman
Museum Sonobudoyo Unit I,museums,4.8,"Jl. Pangurakan No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Tourist attraction, Heritage museum, Museum, Art museum",wisata,40000,,museum sonobudoyo unit museums tourist attraction heritage museum museum art museum pangurakan ngupasan gondomanan
Keraton Ngayogyakarta Hadiningrat,attractions,4.7,"Jl. Rotowijayan No.1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131","Tourist attraction, Historical landmark",wisata,40000,,keraton ngayogyakarta hadiningrat attractions tourist attraction historical landmark rotowijayan panembahan kecamatan kraton
Jogja Culture Show,attractions,5.0,"Jl. Tegalturi No.43, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55163",Tourist attraction,wisata,40000,,jogja culture attractions tourist attraction tegalturi giwangan umbulharjo
Embung Giwangan Culture Park,taman hiburan,4.6,"Jl. Tegalturi No.43, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55163","Cultural center, Theme park",wisata,50000,,embung giwangan culture park taman hiburan cultural center theme park tegalturi giwangan umbulharjo
Museum Wahanarata,museums,4.7,"Jl. Rotowijayan, Kadipaten, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55132","Tourist attraction, History museum",wisata,40000,,museum wahanarata museums tourist attraction history museum rotowijayan kadipaten kecamatan kraton
Taman Pintar Yogyakarta,museums,4.5,"Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Tourist attraction, Education center, Playground, Recreation center, Science museum",wisata,40000,,taman pintar museums tourist attraction education center playground recreation center science museum panembahan senopati ngupasan gondomanan
Keraton Ratu Boko,attractions,4.7,"Jl. Ratu Boko No.2, Gatak, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Tourist attraction,wisata,40000,,keraton ratu boko attractions tourist attraction ratu boko gatak bokoharjo prambanan sleman
